trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.8105842459701871}",25,0,-297.13183641780347,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 6}",0
43,False,"{'a': 0.2, 'e': 0.8065414401773269}",20,3,-137.33015449059158,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 3}",1
44,False,"{'a': 0.2, 'e': 0.8025187979624785}",20,0,-79.63090998088548,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.7985162187593771}",25,0,-159.4828480776603,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
46,False,"{'a': 0.2, 'e': 0.794533602503334}",20,0,-87.61575430775602,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.7905708496287356}",30,0,-170.24546107998975,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
48,False,"{'a': 0.2, 'e': 0.7866278610665535}",20,0,-92.56696463432587,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.7827045382418681}",35,24,-84.44244944417215,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
50,False,"{'a': 0.2, 'e': 0.7788007830714049}",20,0,-82.98933508003198,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.774916497961081}",20,0,-79.0204339674779,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.7710515858035663}",25,0,-202.07232823585937,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
53,False,"{'a': 0.2, 'e': 0.7672059499758557}",30,0,-90.06802480017441,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.7633794943368531}",20,0,-100.10010967309084,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.7595721232249685}",20,0,-37.561472008684206,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.2, 'e': 0.7557837414557255}",25,0,-65.41948610981771,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
57,False,"{'a': 0.2, 'e': 0.7520142543193826}",20,0,-33.087370640201826,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
58,False,"{'a': 0.2, 'e': 0.7482635675785653}",25,0,-30.419920855369654,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.7445315874659094}",20,0,-98.14515383277038,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
60,False,"{'a': 0.2, 'e': 0.7408182206817179}",25,0,-55.08244614021286,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.2, 'e': 0.7371233743916278}",25,0,-59.36726358397632,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.7334469562242892}",25,2,-103.59577307345303,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 1}",1
63,False,"{'a': 0.2, 'e': 0.7297888742690568}",25,15,-3.4958529320987677,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
